11 [DBG_PIN] t=245827 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
9993 [DBG_HP_SAMPLE] t=255808 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=19
10011 [DBG_PIN] t=255827 sig=FP_OUT state=INACTIVE reason=endActivity durMs=6500 camState=1 hpOutAsserted=1
10013 [DBG_PIN] t=255827 sig=HP_OUT state=INACTIVE reason=releaseHpOut durMs=10000 camState=1 hpOutAsserted=0
10015 [DBG_IO] t=255827 stage=configureRuntimeIo.enter deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10018 [DBG_IO] t=255828 stage=configureRuntimeIo.outputsInput deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10222 [DBG_IO] t=255829 stage=configureRuntimeIo.cameraStateMachine deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0
10648  hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10650 [DBG_HP_SAMPLE] t=256465 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
10750 [DBG_HP_SAMPLE] t=256565 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
10849 [DBG_HP_SAMPLE] t=256665 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
10950 [DBG_HP_SAMPLE] t=256765 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11049 [DBG_HP_SAMPLE] t=256865 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11150 [DBG_HP_SAMPLE] t=256965 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11250 [DBG_HP_SAMPLE] t=257065 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11349 [DBG_HP_SAMPLE] t=257165 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11450 [DBG_HP_SAMPLE] t=257265 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11549 [DBG_HP_SAMPLE] t=257365 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11650 [DBG_HP_SAMPLE] t=257465 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11750 [DBG_HP_SAMPLE] t=257565 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11849 [DBG_HP_SAMPLE] t=257665 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11950 [DBG_HP_SAMPLE] t=257765 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12049 [DBG_HP_SAMPLE] t=257865 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12150 [DBG_HP_SAMPLE] t=257965 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
